Ratio_1_FI,Ratio_1_PI,std_actual_tour_length,Ratio_2_FI,Ratio_2_PI,Ratio_2_NI,Ratio_4_FI,Ratio_4_PI,Ratio_4_NI
134.0209351,323.7188873,400.7356758,143.0217896,351.0950375,375.4805145,151.5271301,284.4977417,344.234005
138.3042297,312.6965637,348.8832588,142.6404419,269.7130594,341.7382927,140.1342468,272.4539957,340.3311977
137.9329376,159.2152269,367.684679,137.3838806,147.8748169,389.8031921,139.2938995,157.4647369,376.6381226
131.812088,180.6389465,380.1170216,136.8785095,155.6307431,331.4710712,148.2704926,151.3123169,323.9657478
128.8001709,182.5374472,352.5577717,152.0996857,160.7876303,346.6169147,149.6233063,157.2094817,306.9931641
128.8275757,187.1271033,370.0516853,141.3453369,150.5380402,340.4818897,150.3555298,174.1260529,359.5463696
136.2143402,202.4902952,358.1713886,143.7676239,159.0145235,345.9457989,147.5234528,143.7398376,363.0620613
136.2143402,177.4213431,342.9758263,142.4996796,135.052948,332.7400627,148.3495941,148.0926208,335.5107384
131.5148315,181.5442979,350.9038105,144.3948669,120.0239334,328.9161568,144.2037659,133.0462189,341.2916546
132.3518677,191.8333511,350.0167065,152.2812653,133.522171,359.7179298,141.9947357,133.5010834,257.6388407
130.3139648,209.7276387,349.4854851,152.2812653,133.299881,344.121336,143.3126678,142.0109558,371.941555
132.3518677,148.2771333,391.9118462,152.2812653,122.0997086,332.2861576,143.8690948,129.9129181,328.4813347
130.6457977,163.0159425,353.7241669,143.5918884,128.2945862,345.2696095,148.4544983,127.6391983,334.3040047
129.5886841,155.1981807,401.7560577,156.9199524,136.4400635,352.8486156,143.0259247,117.1742172,307.3758373
129.5886841,143.0154266,358.7328529,132.484436,124.7668991,316.5741844,146.4579773,138.9852905,319.7248402
126.379921,177.1557692,391.6943684,145.5340424,117.2834549,358.6757698,148.8964081,115.4201279,347.0631905
126.060463,168.6004272,396.1792221,129.5176849,109.8490372,363.1124763,148.6290283,127.1510925,358.2273598
132.1332855,172.1285658,396.0348396,147.1770935,138.2268829,374.6763039,144.7080383,117.6136475,373.2455978
132.1332855,140.1068268,405.715416,150.819397,167.6270789,390.6524582,145.1105347,125.6505585,366.8409424
125.9968262,139.5305176,396.2933197,144.1179504,144.5632172,390.7195854,148.4356689,108.2498932,345.8715973
124.3448486,131.445343,380.306654,142.8562317,141.6329803,380.467186,147.2174835,138.6178589,348.409008
127.8989792,136.0806274,385.7307968,133.5265808,147.1652222,366.8447571,149.5256195,136.6838379,392.9880905
125.3279572,147.8370972,399.6399498,141.5912781,145.7896881,334.0459328,145.2571106,140.1152496,384.6347275
124.4505157,143.4621887,396.6375809,136.027771,155.984663,385.764473,150.2013245,146.5511627,346.8040199
128.7827911,147.5198975,383.5586834,141.7628937,155.4042969,393.8099327,135.6004639,112.3457794,359.291151
127.6376266,140.4562988,402.2115707,146.0861969,112.0460129,386.8135109,147.5643463,117.8728485,386.4702835
131.6507568,166.3121219,390.2190437,141.0016479,170.4031893,368.7307434,145.0264282,147.8548737,348.2729759
126.0775604,144.6771393,379.1229515,138.2639008,160.2061874,384.6096497,150.2268982,128.3472595,360.6800423
122.4317551,165.2969613,362.6316967,141.6849823,162.1051995,369.5565605,142.4389801,160.5802429,371.7008896
117.1022186,140.0318451,389.2779007,136.9332123,142.7947693,391.222435,138.6130066,157.967926,367.7206726
125.6374207,139.3125458,376.9915791,137.3983612,138.1299145,357.8279133,138.8040924,135.3913116,342.0798912
111.9509354,138.9812164,376.1474342,134.6164398,138.0685272,370.0323372,140.9574127,142.0952301,337.6800556
121.5327988,162.4631807,355.238102,132.2433472,141.5494232,383.3849297,148.9664154,135.0516968,368.633316
106.0627899,163.0627897,402.1732903,126.3016663,146.6872406,391.1697311,133.7194672,147.1566925,329.2534294
106.4720612,163.1612426,388.6415977,122.8220367,146.0539093,361.3330803,119.0387039,160.5061798,369.0210724
111.4756088,165.2140145,412.6618805,122.2166214,149.1372223,348.9135628,121.7465134,151.9186096,337.8122692
109.4556122,164.8215077,400.6693954,120.0198669,147.9161072,376.0141068,125.7338867,145.6761169,360.5610962
108.1761322,167.6014863,393.0491714,123.4106293,144.200592,398.1654778,130.4191284,145.8858185,337.3529663
108.1453934,165.9643643,390.0391769,119.8733597,141.4371643,399.8401413,117.3760147,165.2937793,350.712265
100.3477554,158.8786774,388.8418732,118.9003677,151.0808077,378.9603462,118.6734085,157.5743866,347.4861469
107.8401794,177.9217362,401.4527168,120.4570541,153.4045924,378.2215614,118.1782379,147.4173737,353.015089
103.1409531,184.9354775,412.230442,120.5442581,151.4964752,349.3871746,126.1170959,150.2122498,373.736908
116.5724792,181.233465,404.3017197,128.2258911,169.6819161,322.8344879,120.3607407,140.7842255,324.6746254
100.6487579,181.5270282,404.6457481,123.8992462,151.8278656,339.8060951,123.7413177,138.530014,319.8792114
110.8611603,180.931446,329.8067284,124.9737701,159.6482323,327.8959179,123.5506516,142.3584747,320.6072235
110.262886,186.1646686,344.262867,123.9131699,151.5759277,328.7100964,137.36763,142.9680328,301.0976906
101.8192062,168.190963,344.1422234,126.1371384,175.4806968,330.1995068,124.6593246,147.2147522,302.1513786
113.1437531,168.2760813,329.1142292,121.0098495,142.3690033,330.7390251,124.0456314,151.5657959,260.5937328
113.1557617,173.6096613,323.9402599,128.002533,141.7177124,299.7246284,123.7039337,151.5635376,279.8557243
112.7758636,168.0781336,324.7201672,127.6770859,163.5143582,299.5791721,124.9657059,153.3682177,295.4359665
113.1647339,180.9205343,310.9517632,121.0849991,160.4599007,280.8198681,132.4803162,140.7125702,280.3277206
117.3051453,182.4716761,312.2093887,120.4409637,157.5616646,280.8198681,124.9657059,152.231308,267.5947227
113.1647339,169.9207416,311.9335747,120.4409637,153.7312485,296.3339024,125.6873703,166.5600813,251.6801138
113.1647339,186.5553823,270.5099564,120.4409637,159.4881287,265.0426865,134.8188934,152.1346893,252.9339886
117.4215698,174.9068916,274.5235863,126.3418655,187.42963,281.4704437,122.3365173,152.4489136,253.8044424
115.4077377,174.4147857,234.2127285,124.4519958,174.0966272,228.2057476,132.2600708,155.9821625,225.6525774
104.8534164,185.7566319,221.0302496,125.705513,155.0263672,219.9793749,132.651825,138.6723785,206.4631457
110.628273,147.2777282,197.1023893,127.5038605,159.2841287,198.1209097,134.7795715,170.1297712,170.6555653
114.9856186,163.438598,202.0250101,127.6531677,162.1639952,198.9419737,134.3422699,174.9676718,186.1908913
114.9856186,167.6541572,214.6950951,121.9565659,169.0990164,201.4451022,130.5026245,140.9079437,180.3953767
114.7973328,147.5316191,197.1791105,121.9565659,152.3355828,197.7861953,134.7795715,152.7472454,174.9158621
113.944664,178.1076303,188.7156677,123.26577,154.0413666,166.4605305,128.0122986,137.5910034,170.6301193
106.9008026,162.4695955,183.5969076,121.8723526,148.5676422,163.6602037,131.7276154,164.9633026,176.9458945
112.2344818,163.6745758,165.3304117,121.8723526,159.4715881,182.3362107,128.3807373,137.9380188,178.980963
112.2344818,138.3197632,194.6011953,127.2137909,152.9628831,135.8807786,128.3807373,156.3909607,175.0169079
117.3967209,138.5003967,197.6722689,120.6507416,148.4565277,146.4687532,133.5332794,139.0776367,138.8795379
113.6134872,137.5146062,165.0814734,125.4233704,135.9701233,186.0805702,129.1462708,146.7985992,180.1013436
112.4671707,133.7850647,209.0994921,128.9470215,132.3681641,186.9650774,122.8932877,132.7627874,119.1510141
111.3079681,136.7643265,226.6034403,129.2643738,131.9473572,156.9510039,138.9550018,165.0031738,121.992328
119.3169022,151.8120862,191.2410922,127.6585464,141.2016754,173.8453615,138.3371429,152.4910972,132.7359697
114.9908676,148.0796204,257.446846,129.7568054,150.2816467,160.7113421,152.8098145,136.1689301,158.9642429
119.2355652,146.2018881,214.5839806,136.7128143,149.2699585,217.0907793,133.7578583,133.6394348,135.1702484
117.0407867,134.7116394,187.8477321,136.7298889,142.190094,176.5198658,155.160675,143.0268707,132.8472162
117.0547256,101.7434616,192.7269411,126.9187469,142.8112488,191.6900215,136.7196503,126.059166,125.4759654
114.331398,134.6172638,202.1374159,129.4971771,128.4638824,186.1312265,150.2770691,117.4670486,154.334337
116.0456924,118.1225052,232.8169374,137.3934326,132.8751984,223.2891722,148.0992889,113.5399094,146.8179277
117.1652908,116.0963058,173.7965736,140.501236,119.2870712,196.6868634,143.6851959,127.0198608,151.6925734
,110.7808838,171.2775753,131.5728912,133.6755829,206.7708588,132.0601044,132.0805763,136.5762051
,111.0931549,212.3382339,133.2728577,128.6904602,175.5841632,134.7984619,127.4994736,147.6497931
,107.8686829,190.5748835,132.5768127,128.7188263,196.7699642,141.3367767,135.4174805,130.4307677
,172.7151515,198.3674555,135.2802734,119.4588165,209.9140615,135.9177856,165.2838745,131.5814119
,117.0446777,218.9478931,135.4073029,138.9552917,201.3469019,134.9297943,166.2754585,204.7259979
,146.6330246,228.7271709,127.5708466,162.758365,219.6658564,141.461731,146.0060644,184.6297567
,141.5080566,231.5797234,141.4349365,159.817114,189.214251,129.171936,148.8833236,170.611762
,133.0915222,259.7511349,131.5140533,136.0553894,222.520546,134.1925049,142.8254089,209.112381
,166.3899841,277.4663429,137.5970459,165.1555272,207.7312078,138.8517609,144.8312982,212.5093088
,154.2837422,277.4663429,126.812973,164.7677746,231.5856495,134.1925049,141.1595764,223.4100027
,159.2017353,281.2836704,133.2031555,171.1793258,214.7125673,142.5982208,152.3884735,209.3014598
,137.6313171,239.5090551,134.3863525,155.7807159,213.322475,140.8535767,130.2974548,197.6726723
,153.9631948,231.8266239,135.3145447,169.1318617,198.8472934,147.5811005,153.6446793,198.3706002
,144.9422977,219.6344433,134.552948,159.4133652,174.3576658,146.0984039,137.8929596,150.8760415
,102.7184143,231.7813931,125.8767471,133.0738495,219.4804006,138.1991577,125.1081696,145.4994227
,101.4367065,191.5879111,119.5028076,156.9096375,191.5399637,129.6233521,137.4642029,150.1228839
,99.08042908,226.1211061,121.1535721,124.0078354,158.2550073,136.14505,138.7954865,147.2297536
,126.0475121,207.2948408,127.9527435,120.0423279,201.6737413,122.1088257,129.8987579,144.625123
,126.9371948,203.6854153,123.359314,127.7968674,176.2859778,128.1156769,129.0316772,180.8779941
,126.7601166,215.814404,121.249939,132.7078552,156.8336468,129.4668274,124.4054794,148.9424876
,111.7370834,194.0654655,121.2200165,128.681488,158.9522519,134.7773743,119.4405823,138.0436754
,139.8151153,144.7324326,122.1130981,123.5781186,147.4535289,134.6590576,122.9445114,170.8853252
,142.747757,182.0586324,114.8705444,113.8103867,145.5432838,134.0854187,130.4252777,142.0571028
